content;sentence_length_group;ipaTranscription;arpabetTranscription;wordCount;charCountNoSpaces;charCountTotal;difficultyLevel;translationRu
It's all over between us.;small;ˈɪts ˈɔl ˈoʊvɚ bɪtwˈin ˈʌs;ɪts ɔːl oʊvɚ bᵻtwiːn ʌs;5;21;25;2;
A small forest brook flowed between the moss-covered trees.;large;ə smˈɔl fˈɔɹɪst bɹˈʊk flˈoʊd bɪtwˈin ðə mˈɔs kˈʌvɚd tɹˈiz;ɐ smɔːl fɔːɹɪst bɹʊk floʊd bᵻtwiːn ðə mɔs kʌvɚd tɹiːz;9;51;59;3;
The two countries have a lot in common culturally.;large;ðə tˈu kˈʌntɹiz hˈæv ə lˈɑt ˈɪn kˈɑmən kˈʌlt͡ʃɚəli;ðə tuː kʌntɹiz hæv ɐ lɑːt ɪn kɑːmən kʌltʃɚɹəli;9;42;50;3;
There is much in common between the two countries culturally.;large;ðˈɛɹ ˈɪz mˈʌt͡ʃ ˈɪn kˈɑmən bɪtwˈin ðə tˈu kˈʌntɹiz kˈʌlt͡ʃɚəli;ðɛɹ ɪz mʌtʃ ɪn kɑːmən bᵻtwiːn ðə tuː kʌntɹiz kʌltʃɚɹəli;10;52;61;3;
Culturally, the two countries have a lot in common.;large;kˈʌlt͡ʃɚəli | ðə tˈu kˈʌntɹiz hˈæv ə lˈɑt ˈɪn kˈɑmən;kʌltʃɚɹəli ðə tuː kʌntɹiz hæv ɐ lɑːt ɪn kɑːmən;9;43;51;3;
Culturally, there is much common ground between the two countries.;large;kˈʌlt͡ʃɚəli | ðˈɛɹ ˈɪz mˈʌt͡ʃ kˈɑmən ɡɹˈaʊnd bɪtwˈin ðə tˈu kˈʌntɹiz;kʌltʃɚɹəli ðɛɹ ɪz mʌtʃ kɑːmən ɡɹaʊnd bᵻtwiːn ðə tuː kʌntɹiz;10;57;66;3;
Culturally speaking, the two countries have a lot in common.;large;kˈʌlt͡ʃɚəli spˈikɪŋ | ðə tˈu kˈʌntɹiz hˈæv ə lˈɑt ˈɪn kˈɑmən;kʌltʃɚɹəli spiːkɪŋ ðə tuː kʌntɹiz hæv ɐ lɑːt ɪn kɑːmən;10;51;60;3;
Don't make me do that.;small;dˈoʊnt mˈeɪk mˈi dˈu ðˈæt;doʊnt meɪk miː duː ðæt;5;18;22;2;
Two don't fight if one doesn't want to.;medium;tˈu dˈoʊnt fˈaɪt ˈɪf wˈʌn dˈʌzənt wˈɔnt tə;tuː doʊnt faɪt ɪf wʌn dʌzənt wɔnt tuː;8;32;39;2;
Two day returns to Norwich, please.;medium;tˈu dˈeɪ ɹɪtˈɚnz tə nˈɔɹwɪt͡ʃ | plˈiz;tuː deɪ ɹᵻtɜːnz tə nɔːɹɪtʃ pliːz;6;30;35;2;
Two months have passed since he left for France.;large;tˈu mˈʌnθs hˈæv pˈæst sˈɪns hˈi lˈɛft fɚ fɹˈæns;tuː mʌnθs hæv pæst sɪns hiː lɛft fɔːɹ fɹæns;9;40;48;3;
Two persons were killed when an elevated bike path collapsed in Rio.;large;tˈu pˈɚsənz wɚ kˈɪld wˈɛn ən ˈɛləvˌeɪtɪd bˈaɪk pˈæθ kəlˈæpst ˈɪn ɹˈioʊ;tuː pɜːsənz wɜː kɪld wɛn ɐn ɛlɪveɪɾᵻd baɪk pæθ kəlæpst ɪn ɹiːoʊ;12;57;68;3;
Two men had their arms severed in Taiwan after a tug-of-war accident.;large;tˈu mˈɛn hˈæd ðˈɛɹ ˈɑɹmz sˈɛvɚd ˈɪn tˈaɪwˈɑn ˈæftɚ ə tˈʌɡ əv wˈɔɹ ˈæksədənt;tuː mɛn hæd ðɛɹ ɑːɹmz sɛvɚd ɪn taɪwɑːn æftɚɹ ɐ tʌɡ ʌv wɔːɹ æksɪdənt;12;58;69;3;
Two small rabbits, a white rabbit and a black rabbit, lived in a large forest.;large;tˈu smˈɔl ɹˈæbɪts | ə wˈaɪt ɹˈæbɪt ˈænd ə blˈæk ɹˈæbɪt | lˈɪvd ˈɪn ə lˈɑɹd͡ʒ fˈɔɹɪst;tuː smɔːl ɹæbɪts ɐ waɪt ɹæbɪt ænd ɐ blæk ɹæbɪt lɪvd ɪn ɐ lɑːɹdʒ fɔːɹɪst;15;64;78;3;
Are you still in doubt about what I have said?;large;ˈɑɹ jˈu stˈɪl ˈɪn dˈaʊt əbˈaʊt wˈʌt ˈaɪ hˈæv sˈɛd ‖;ɑːɹ juː stɪl ɪn daʊt ɐbaʊt wʌt aɪ hæv sɛd;10;37;46;3;
Two singles to Bristol, please.;medium;tˈu sˈɪŋɡəlz tə bɹˈɪstəl | plˈiz;tuː sɪŋɡəlz tə bɹɪstəl pliːz;5;27;31;2;
Which group is your friend in?;medium;wˈɪt͡ʃ ɡɹˈup ˈɪz jˈʊɹ fɹˈɛnd ˈɪn ‖;wɪtʃ ɡɹuːp ɪz jʊɹ fɹɛnd ɪn;6;25;30;2;
When will the resurrection be?;medium;wˈɛn wˈɪl ðə ɹˌɛzɚˈɛkʃən bˈi ‖;wɛn wɪl ðə ɹᵻsɚɹɛkʃən biː;5;26;30;2;
